0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:17:11 +0900] "GET /workshop_0906/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:17:11 +0900] "GET /workshop_0906/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/movie_image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/movie_image3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/movie_image2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/jackie.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/jack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/angelina.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/sidebar_section_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/sidebar_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/img/intro_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:01 +0900] "GET /workshop_0906/media/KungFuPanda_Sample.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:07 +0900] "GET /workshop_0906/reservation.html HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:56:07 +0900] "GET /workshop_0906/js/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [06/Sep/2019:16:15:32 +0900] "GET /workshop_0906/reservation.html HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [06/Sep/2019:16:15:32 +0900] "GET /workshop_0906/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:16:15:32 +0900] "GET /workshop_0906/img/movie_image2.jpg HTTP/1.1" 304 -
